Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|13.3 COVERED PATIO 3 FOUNDATION - COVP3,|13.3 COVERED PATIO 3 FOUNDATION,1,,COVP3,COVP3,4085,Lumber,,,|13.3 COVERED PATIO 3 FOUNDATION,COVP3,,,,|13.3 COVERED PATIO 3 FOUNDATION,,,,|13,.3 COVERED PATIO 3 FOUNDATION,4085,Lumber
|14.1 DECK FOUNDATION - DECK,|14.1 DECK FOUNDATION,1,,DECK,DECK,4085,Lumber,,,|14.1 DECK FOUNDATION,DECK,,,,|14.1 DECK FOUNDATION,,,,|14,.1 DECK FOUNDATION,4085,Lumber
|14.2 DECK FOUNDATION - DECK2,|14.2 DECK FOUNDATION,1,,DECK2,DECK2,4085,Lumber,,,|14.2 DECK FOUNDATION,DECK2,,,,|14.2 DECK FOUNDATION,,,,|14,.2 DECK FOUNDATION,4085,Lumber
|14.3 DECK FOUNDATION - DECK3,|14.3 DECK FOUNDATION,1,,DECK3,DECK3,4085,Lumber,,,|14.3 DECK FOUNDATION,DECK3,,,,|14.3 DECK FOUNDATION,,,,|14,.3 DECK FOUNDATION,4085,Lumber
|15.1 COVERED DECK FOUNDATION - COVD,|15.1 COVERED DECK FOUNDATION,1,,COVD,COVD,4085,Lumber,,,|15.1 COVERED DECK FOUNDATION,COVD,,,,|15.1 COVERED DECK FOUNDATION,,,,|15,.1 COVERED DECK FOUNDATION,4085,Lumber
|15.2 COVERED DECK FOUNDATION - COVD2,|15.2 COVERED DECK FOUNDATION,1,,COVD2,COVD2,4085,Lumber,,,|15.2 COVERED DECK FOUNDATION,COVD2,,,,|15.2 COVERED DECK FOUNDATION,,,,|15,.2 COVERED DECK FOUNDATION,4085,Lumber
|15.3 COVERED DECK FOUNDATION - COVD3,|15.3 COVERED DECK FOUNDATION,1,,COVD3,COVD3,4085,Lumber,,,|15.3 COVERED DECK FOUNDATION,COVD3,,,,|15.3 COVERED DECK FOUNDATION,,,,|15,.3 COVERED DECK FOUNDATION,4085,Lumber
|16.1 TRUSSED MAIN FLOOR OVER BASEMENT - WO,|16.1 TRUSSED MAIN FLOOR OVER BASEMENT,1,,WO,WO,4085,Lumber,,,|16.1 TRUSSED MAIN FLOOR OVER BASEMENT,WO,,,,|16.1 TRUSSED MAIN FLOOR OVER BASEMENT,,,,|16,.1 TRUSSED MAIN FLOOR OVER BASEMENT,4085,Lumber
|16.61 WO BSMT MAIN FLOOR - SUNWO,|16.61 WO BSMT MAIN FLOOR,1,,SUNWO,SUNWO,4085,Lumber,,,|16.61 WO BSMT MAIN FLOOR,SUNWO,,,,|16.61 WO BSMT MAIN FLOOR,,,,|16,.61 WO BSMT MAIN FLOOR,4085,Lumber
|16/16.2 OPT WO BASEMENT MAIN FLOOR SYSTEM - WO - WO2,|16/16.2 OPT WO BASEMENT MAIN FLOOR SYSTEM,1,,"WO, WO2","WO, WO2",4085,Lumber,,,|16/16.2 OPT WO BASEMENT MAIN FLOOR SYSTEM,WO,WO2,,,|16/16.2 OPT WO BASEMENT MAIN FLOOR SYSTEM,,,,|16,/16.2 OPT WO BASEMENT MAIN FLOOR SYSTEM,4085,Lumber
