Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|20.19 OPT STUDY WINDOW     ,3,,WDWSTUDY,WDWSTUDY,WDWSTUDY,,,XXXX,20.19,OPT STUDY WINDOW     ,1000,Framing,,XXXX-20.19-1000
|20.20 OPT POWDER      ,3,,ABAPWDR,ABAPWDR,ABAPWDR,,,XXXX,20.20,OPT POWDER      ,1000,Framing,,XXXX-20.2-1000
|20.21 OPT DBA DELUXE MASTER BATH 1  ,3,,DBA,DBA,DBA,,,XXXX,20.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,,XXXX-20.21-1000
|20.22 OPT DBA2 DELUXE MASTER BATH 2  ,3,,DBA2,DBA2,DBA2,,,XXXX,20.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,,XXXX-20.22-1000
|20.23 OPT DBA DELUXE MASTER BATH 3  ,3,,DBA3,DBA3,DBA3,,,XXXX,20.23,OPT DBA DELUXE MASTER BATH 3  ,1000,Framing,,XXXX-20.23-1000
|20.24 OPT BEDROOM 4     ,3,,ABR4,ABR4,ABR4,,,XXXX,20.24,OPT BEDROOM 4     ,1000,Framing,,XXXX-20.24-1000
|20.24 OPT BEDROOM 4     ,3,,ABR4BA,ABR4BA,ABR4BA,,,XXXX,20.24,OPT BEDROOM 4     ,1000,Framing,,XXXX-20.24-1000
|20.25 OPT BEDROOM 5 W/ BATHROOM   ,3,,ABR5BA,ABR5BA,ABR5BA,,,XXXX,20.25,OPT BEDROOM 5 W/ BATHROOM   ,1000,Framing,,XXXX-20.25-1000
|20.27 OPT STUDY      ,3,,STUDY,STUDY,STUDY,,,XXXX,20.27,OPT STUDY      ,1000,Framing,,XXXX-20.27-1000
|20.28 OPT DINING ROOM     ,3,,,,,,,XXXX,20.28,OPT DINING ROOM     ,1000,Framing,,XXXX-20.28-1000
|20.29 OPT BED W/ BATHROOM ILO DEN  ,3,,,,,,,XXXX,20.29,OPT BED W/ BATHROOM ILO DEN  ,1000,Framing,,XXXX-20.29-1000
|20.33 OPT FRENCH DOUBLE DOOR    ,3,,FRENCHDB,FRENCHDB,FRENCHDB,,,XXXX,20.33,OPT FRENCH DOUBLE DOOR    ,1000,Framing,,XXXX-20.33-1000
|20.34 OPT POCKET OFFICE     ,3,,,,,,,XXXX,20.34,OPT POCKET OFFICE     ,1000,Framing,,XXXX-20.34-1000
|20.41 OPT DINING ROOM COFFERED CEILING   ,3,,COFDIN,COFDIN,COFDIN,,,XXXX,20.41,OPT DINING ROOM COFFERED CEILING   ,1000,Framing,,XXXX-20.41-1000
|20.42 OPT MBR COFFERED CEILING    ,3,,COFMBR,COFMBR,COFMBR,,,XXXX,20.42,OPT MBR COFFERED CEILING    ,1000,Framing,,XXXX-20.42-1000
|20.43 OPT ENTRY COFFERED CEILING    ,3,"A, B, C",,,,,,XXXX,20.43,OPT ENTRY COFFERED CEILING    ,1000,Framing,,XXXX-20.43-1000
|20.44 OPT LIVING ROOM COFFERED CEILING   ,3,,,,,,,XXXX,20.44,OPT LIVING ROOM COFFERED CEILING   ,1000,Framing,,XXXX-20.44-1000
|20.50 OPT BOOKCASE STUDY     ,3,,BOOK1,BOOK1,BOOK1,,,XXXX,20.50,OPT BOOKCASE STUDY     ,1000,Framing,,XXXX-20.5-1000
|20.60 EXTENDED GREAT ROOM WALLS    ,3,,XGREAT,XGREAT,XGREAT,,,XXXX,20.60,EXTENDED GREAT ROOM WALLS    ,1000,Framing,,XXXX-20.6-1000
|20.61 MAIN WALLS SUNROOM     ,3,,SUN,SUN,SUN,,,XXXX,20.61,MAIN WALLS SUNROOM     ,1000,Framing,,XXXX-20.61-1000
|20.70 MAIN WALL OPT BDR 3   ,3,,,,,,,XXXX,20.70,MAIN WALL OPT BDR 3   ,1000,Framing,,XXXX-20.7-1000
|20.81 OPT CLUBHOUSE RETREAT     ,3,,RETREAT,RETREAT,RETREAT,,,XXXX,20.81,OPT CLUBHOUSE RETREAT     ,1000,Framing,,XXXX-20.81-1000
|20.82 OPT DEN WALLS     ,3,,,,,,,XXXX,20.82,OPT DEN WALLS     ,1000,Framing,,XXXX-20.82-1000
|20.82 OPT DEN WALLS     ,3,"B, C, D",,,,,,XXXX,20.82,OPT DEN WALLS     ,1000,Framing,,XXXX-20.82-1000
|20.82 OPT DEN WALLS     ,3,,,,,,,XXXX,20.82,OPT DEN WALLS     ,1000,Framing,,XXXX-20.82-1000
|20.83 OPT DEN W/FULL BATH WALLS   ,3,"B, C, D",,,,,,XXXX,20.83,OPT DEN W/FULL BATH WALLS   ,1000,Framing,,XXXX-20.83-1000
|20.83 OPT DEN W/ FULL BALL WALLS  ,3,,,,,,,XXXX,20.83,OPT DEN W/ FULL BALL WALLS  ,1000,Framing,,XXXX-20.83-1000
|20.ak Alternate Kitchen      ,3,,,,,,,XXXX,20.ak,Alternate Kitchen      ,1000,Framing,,XXXX-20.ak-1000
|20.lo MAIN FLOOR WALLS (LOFT)    ,3,"A, B, C",,"ELVA, ELVB, ELVC",ELVA,ELVB,ELVC,XXXX,20.lo,MAIN FLOOR WALLS (LOFT)    ,1000,Framing,,XXXX-20.lo-1000
|20.nl MAIN FLOOR WALLS (NO LOFT)   ,3,"A, B, C",,"ELVA, ELVB, ELVC",ELVA,ELVB,ELVC,XXXX,20.nl,MAIN FLOOR WALLS (NO LOFT)   ,1000,Framing,,XXXX-20.nl-1000
|20.00 MAIN FLOOR WALLS     ,3,"B, C",,,,,,XXXX,20.00,MAIN FLOOR WALLS     ,1000,Framing,,XXXX-20-1000
|20.00 MAIN FLOOR WALLS     ,3,"B, C, D",,,,,,XXXX,20.00,MAIN FLOOR WALLS     ,1000,Framing,,XXXX-20-1000
|20.00 MAIN WALLS      ,3,D,,,,,,XXXX,20.00,MAIN WALLS      ,1000,Framing,,XXXX-20-1000
|20.ma FRAMING MASONRY      ,3,,,,,,,XXXX,20.ma,FRAMING MASONRY      ,1000,Framing,,XXXX-20.ma-1000
|20.rf MAIN WALLS READYFRAME     ,3,,,,,,,XXXX,20.rf,MAIN WALLS READYFRAME     ,1000,Framing,,XXXX-20.rf-1000
