Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|63.20 COVERED PATIO 2 SIDING    ,7,,COVP2,COVP2,COVP2,,,XXXX,63.20,COVERED PATIO 2 SIDING    ,1100,Siding,,XXXX-63.2-1100
|63.2p COVERED PATIO 2 POST WRAP   ,7 or 8,,"COVD2, COVP2","COVD2, COVP2",COVD2,COVP2,,XXXX,63.2p,COVERED PATIO 2 POST WRAP   ,1100,Siding,,XXXX-63.2p-1100
|63.2p COVERED PATIO 2 POST WRAP   ,7 or 8,,COVP2,COVP2,COVP2,,,XXXX,63.2p,COVERED PATIO 2 POST WRAP   ,1100,Siding,,XXXX-63.2p-1100
|63.30 OPT COVERED PATIO SIDING    ,7,,COVP3,COVP3,COVP3,,,XXXX,63.30,OPT COVERED PATIO SIDING    ,1100,Siding,,XXXX-63.3-1100
|63.3p COVERED PATIO 2 POST WRAP   ,7 or 8,,"COVD3, COVP3","COVD3, COVP3",COVD3,COVP3,,XXXX,63.3p,COVERED PATIO 2 POST WRAP   ,1100,Siding,,XXXX-63.3p-1100
|63.3p OPT COVERED PATIO POST WRAP   ,7 or 8,,COVP3,COVP3,COVP3,,,XXXX,63.3p,OPT COVERED PATIO POST WRAP   ,1100,Siding,,XXXX-63.3p-1100
|63.61 COVERED PATIO SUNROOM SIDING    ,7,,COVPSN1,COVPSN1,COVPSN1,,,XXXX,63.61,COVERED PATIO SUNROOM SIDING    ,1100,Siding,,XXXX-63.61-1100
|63.61 COVERED PATIO SUNROOM POST WRAP   ,7 or 8,,COVP,COVP,COVP,,,XXXX,63.61,COVERED PATIO SUNROOM POST WRAP   ,1100,Siding,,XXXX-63.61-1100
|63.pw COVERED PATIO POST WRAP    ,7,,COVP,COVP,COVP,,,XXXX,63.pw,COVERED PATIO POST WRAP    ,1100,Siding,,XXXX-63.pw-1100
|63.sr COVERED PATIO @ SUNROOM SIDING   ,7,,"COVPSN1, COVD1SN","COVPSN1, COVD1SN",COVPSN1,COVD1SN,,XXXX,63.sr,COVERED PATIO @ SUNROOM SIDING   ,1100,Siding,,XXXX-63.sr-1100
|63.xc EXTENDED COVERED PATIO SIDING    ,7,,COVPX,COVPX,COVPX,,,XXXX,63.xc,EXTENDED COVERED PATIO SIDING    ,1100,Siding,,XXXX-63.xc-1100
|63.xp EXTENDED COVERED PATIO POST WRAP   ,7 or 8,,COVPX,COVPX,COVPX,,,XXXX,63.xp,EXTENDED COVERED PATIO POST WRAP   ,1100,Siding,,XXXX-63.xp-1100
|65.10 OPT COVERED DECK SIDING    ,7,,COVD,COVD,COVD,,,XXXX,65.10,OPT COVERED DECK SIDING    ,1100,Siding,,XXXX-65.1-1100
|65.1p OPT COVERED DECK POST WRAP   ,7 or 8,,COVD,COVD,COVD,,,XXXX,65.1p,OPT COVERED DECK POST WRAP   ,1100,Siding,,XXXX-65.1p-1100
|65.1p POST WRAP      ,7 or 8,,COVD,COVD,COVD,,,XXXX,65.1p,POST WRAP      ,1100,Siding,,XXXX-65.1p-1100
|65.20 COVERED DECK 2 SIDING    ,7,,COVD2,COVD2,COVD2,,,XXXX,65.20,COVERED DECK 2 SIDING    ,1100,Siding,,XXXX-65.2-1100
|65.2p COVERED DECK 2 POST WRAP   ,7,,COVD2,COVD2,COVD2,,,XXXX,65.2p,COVERED DECK 2 POST WRAP   ,1100,Siding,,XXXX-65.2p-1100
|65.2p COVERED DECK POST WRAP    ,7,,COVD2,COVD2,COVD2,,,XXXX,65.2p,COVERED DECK POST WRAP    ,1100,Siding,,XXXX-65.2p-1100
|65.30 OPT COVERED DECK SIDING    ,7,,COVD3,COVD3,COVD3,,,XXXX,65.30,OPT COVERED DECK SIDING    ,1100,Siding,,XXXX-65.3-1100
|65.3p OPT COVERED DECK POST WRAP   ,7 or 8,,COVD3,COVD3,COVD3,,,XXXX,65.3p,OPT COVERED DECK POST WRAP   ,1100,Siding,,XXXX-65.3p-1100
|74.10 DECK SURFACE & RAIL    ,8 or 9,,DECK,DECK,DECK,,,XXXX,74.10,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-74.1-1100
|74.20 DECK SURFACE & RAIL    ,8 or 9,,DECK2,DECK2,DECK2,,,XXXX,74.20,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-74.2-1100
|74.30 DECK SURFACE & RAIL    ,8 or 9,,DECK3,DECK3,DECK3,,,XXXX,74.30,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-74.3-1100
|74.60 DECK SURFACE & RAIL @ EXT GRT RM,8 or 9,,"XGREAT, COVD2, WO2","XGREAT, COVD2, WO2",XGREAT,COVD2,WO2,XXXX,74.60,DECK SURFACE & RAIL @ EXT GRT RM,1100,Siding,,XXXX-74.6-1100
|74.ed EXT DECK SURFACE & RAIL   ,8 or 9,,"COVD2, WO","COVD2, WO",COVD2,WO,,XXXX,74.ed,EXT DECK SURFACE & RAIL   ,1100,Siding,,XXXX-74.ed-1100
|75.10 DECK SURFACE & RAIL    ,8 or 9,,COVD,COVD,COVD,,,XXXX,75.10,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-75.1-1100
|75.1s STAIRS SURFACE & RAIL    ,8 or 9,,COVD,COVD,COVD,,,XXXX,75.1s,STAIRS SURFACE & RAIL    ,1100,Siding,,XXXX-75.1s-1100
|75.20 DECK SURFACE & RAIL    ,8 or 9,,COVD2,COVD2,COVD2,,,XXXX,75.20,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-75.2-1100
|75.2s STAIRS SURFACE & RAIL    ,8 or 9,,COVD2,COVD2,COVD2,,,XXXX,75.2s,STAIRS SURFACE & RAIL    ,1100,Siding,,XXXX-75.2s-1100
|75.30 DECK SURFACE & RAIL    ,8 or 9,,COVD3,COVD3,COVD3,,,XXXX,75.30,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-75.3-1100
|75.tc DECK SURFACE & RAIL    ,8 or 9,,TALLCRWL,TALLCRWL,TALLCRWL,,,XXXX,75.tc,DECK SURFACE & RAIL    ,1100,Siding,,XXXX-75.tc-1100
|80.00 TALL CRAWL      ,1,,TALLCRWL,TALLCRWL,TALLCRWL,,,XXXX,80.00,TALL CRAWL      ,1000,Framing,,XXXX-80-1000
|90.00 TALL CRAWL SIDING     ,7,,TALLCRWL,TALLCRWL,TALLCRWL,,,XXXX,90.00,TALL CRAWL SIDING     ,1100,Siding,,XXXX-90-1100
